# koid	org	name	op	pmid	definition	source
KO00001	Aquifex aeolicus	glnBA	aq_109,aq_111	10692367		
KO00002	Acinetobacter sp. ADP1	benPK	ACIAD1433,ACIAD1434	11932465	benzoate catabolism	
KO00003	Acinetobacter sp. ADP1	areCBA	ACIAD1428,ACIAD1429,ACIAD1430	12957953	catabolism of benzyl esters into benzoates	
KO00004	Acinetobacter sp. ADP1	benABCDE	ACIAD1436,ACIAD1437,ACIAD1438,ACIAD1439,ACIAD1440	12603735	benzoate degradation	
KO00005	Acinetobacter sp. ADP1	catBCIJFD	ACIAD1446,ACIAD1447,ACIAD1448,ACIAD1449,ACIAD1450,ACIAD1451	12603735	benzoate degradation	
KO00006	Acinetobacter sp. ADP1	catA	ACIAD1442	12603735	benzoate degradation	
KO00007	Acinetobacter sp. ADP1	salAR	ACIAD1424,ACIAD1425	10715011	catabolism of salicylate esters	
KO00008	Acinetobacter sp. ADP1	salDE	ACIAD1426,ACIAD1427	10715011	catabolism of salicylate esters	
KO00009	Acinetobacter sp. ADP1	rubA-rubB-estB-oxyR	ACIAD1063,ACIAD1064,ACIAD1065,ACIAD1066	10400587	thu degradation	
KO00010	Acinetobacter sp. ADP1	pca	ACIAD1704,ACIAD1705,ACIAD1706,ACIAD1707,ACIAD1708,ACIAD1709,ACIAD1710,ACIAD1711,ACIAD1712	9515921	conversion of protocatechuate to citric acid cycle intermediates	
KO00011	Nostoc sp. PCC7120	nir	alr0607,alr0608,alr0609,alr0610,alr0611,alr0612	12923076	nitrate assimilation	
KO00012	Nostoc sp. PCC7120	devBCA	alr3710,alr3711,alr3712	11371545	ATP-binding cassette exporter	
KO00013	Nostoc sp. PCC7120	coxBACI	alr0950,alr0951,alr0952	11948164  12603731	cytochrome c oxidase	
KO00014	Nostoc sp. PCC7120	coxBACII	alr2514,alr2515,alr2516	11948164  12603731	cytochrome c oxidase	
KO00015	Nostoc sp. PCC7120	cydAB	all4023,all4024	11948164	cytochrome D ubiquinol oxidase	
KO00016	Agrobacterium tumefaciens C58	chvE-gguA-gguB	Atu2346,Atu2347,Atu2348	11514518	sugar-transporter	
KO00017	Agrobacterium tumefaciens C58	repABC	Atu5000,Atu5001,Atu5002	12828641	replication and partitioning	
